Priority,Target,Category,Relevant URL,Pitch Asset,Contact Path,Status,First Outreach Date,Follow-up Date,Outcome,Notes
1,Define Financial / Taylor Schulte,retirement_planning,https://www.definefinancial.com/retirement/avoid-irmaa-surcharges-a-medicare-premium-playbook-for-retirees/,2026 brackets hub or main calculator,,not_started,,,,"Recent 2026 IRMAA article; good fit for chart/calculator companion."
2,Income Lab,advisor_software,https://incomelaboratory.com/roth-conversion-irmaa-planning-guide/,Roth calculator or main calculator,,not_started,,,,"Advisor-focused Roth/IRMAA planning content."
3,Range,financial_planning,https://www.range.com/blog/irmaa-and-roth-conversions,Roth calculator or two-year lookback guide,,not_started,,,,"Roth conversion and IRMAA article."
4,Center for Financial Planning,advisor_blog,https://www.centerfinplan.com/money-centered/2023/8/30/can-i-avoid-irmaa-surcharges-on-medicare-part-b-and-part-d,Municipal bond IRMAA guide,,not_started,,,,"Mentions tax-free municipal bond interest add-back."
5,Greenbush Financial,advisor_blog,https://www.greenbushfinancial.com/all-blogs/-avoid-these-irmaa-mistakes,2026 brackets hub or MAGI checklist,,not_started,,,,"Covers IRMAA mistakes and MAGI."
6,Cedar Point Capital,advisor_blog,https://www.cedarpointcap.com/financial-insights/avoiding-irmaa-surcharges-your-medicare-premiums,Municipal bond guide or 2026 brackets hub,info@cedarpointcap.com,not_started,,,,"Public email found on site footer."
7,Baird Wealth,wealth_management,https://www.bairdwealth.com/insights/wealth-management-perspectives/2022/04/managing-your-medicare-premiums/,How-long-does-IRMAA-last guide,,not_started,,,,"Article discusses annual recalculation/reset."
8,Cardinal Guide,advisor_blog,https://cardinalguide.com/posts/medicare-irmaa-and-why-your-retirement-plan-needs-to-account-for-both/,Two-year lookback guide,,not_started,,,,"Recent article frames IRMAA as retirement plan issue."
9,Horizon Wealth,advisor_blog,https://www.horizonswealth.com/how-to-avoid-irmaa-charges/,Municipal bond IRMAA guide,,not_started,,,,"Article includes muni bond MAGI example."
10,BSG Advisers,advisor_blog,https://www.bsgadvisers.com/blogs/how-to-avoid-medicare-irmaa--tax-strategies-for-retirees-xeew,MAGI checklist or municipal bond guide,,not_started,,,,"FAQ mentions tax-exempt interest."
11,MedicareResources.org,medicare_education,https://www.medicareresources.org/medicare-eligibility-and-enrollment/what-is-the-income-related-monthly-adjusted-amount-irmaa/,2026 brackets hub,,not_started,,,,"Detailed IRMAA explainer; possible resource link."
12,Ameriprise,financial_services,https://www.ameriprise.com/financial-goals-priorities/insurance-health/avoid-medicare-irmaa-surcharge,2026 brackets hub,,not_started,,,,"Large site; lower chance but relevant."
13,Kiplinger,media,https://www.kiplinger.com/retirement/medicare/ways-to-plan-now-to-save-on-medicare-irmaa-surcharges-later,Municipal bond guide or MAGI checklist,,not_started,,,,"Recent article mentions muni bond add-back."
14,My WealthTrace,planning_software,https://www.mywealthtrace.com/blog/how-irmaa-can-impact-roth-conversion-decisions,Main calculator,,not_started,,,,"Roth/IRMAA content; possible calculator companion."
15,SafeMoney.com,retirement_media,https://safemoney.com/blog/medicare/understanding-irmaa-impact-medicare-premiums/,2026 brackets hub,,not_started,,,,"Broad IRMAA education site."
16,Tidepool Wealth,advisor_blog,https://www.tidepoolwealth.com/blog/medicare-irmaa-and-how-to-try-to-avoid-it-in-plain-english,How-long-does-IRMAA-last guide,,not_started,,,,"Plain-English IRMAA article."
17,Decima Wealth,advisor_blog,https://decimawealth.com/planning/avoid-irmaa-surcharges/,Main calculator,,not_started,,,,"Avoid IRMAA education page."
18,Chris Reddick Financial Planning,advisor_blog,https://www.chrisreddickfp.com/blog/roth-conversions-and-irmaa-strategic-guide-minimizing-lifetime-taxes,Roth calculator,,not_started,,,,"Roth conversion/IRMAA article."
19,Leonard Financial Solutions,local_nj_advisor,https://www.leonardfinancialsolutions.com/roth-conversions,Two-year lookback or Roth calculator,,not_started,,,,"NJ Roth conversion page mentions IRMAA; also aligns with GSC NJ query."
20,Peter Lazaroff,podcast_blog,https://peterlazaroff.com/ep-79-irmaa-fees-in-retirement-how-to-avoid-them-with-taylor-schulte,Main calculator or two-year lookback guide,,not_started,,,,"IRMAA podcast/show notes page."
21,Investor.gov,government_resource,https://www.investor.gov/free-financial-planning-tools,RMD or main calculator,,not_started,,,,"Very high authority; pursue only if public submission path exists."
22,White Coat Investor,calculator_roundup,https://www.whitecoatinvestor.com/best-retirement-calculators-2025/,Main calculator or 2026 brackets hub,,not_started,,,,"Calculator roundup/comments may surface IRMAA calculator gap."
23,Financial Mentor,calculator_directory,https://www.financialmentor.com/calculator/best-retirement-calculator,Main calculator,,not_started,,,,"Calculator-focused site."
24,AARP,retirement_resource,https://www.aarp.org/money/retirement/retirement-calculator/,2026 brackets hub,,not_started,,,,"Long-shot retirement resource target."
25,FINRA Retirement Calculator,financial_resource,https://retirementcalculator.nga.finra.org/,RMD or main calculator,,not_started,,,,"Long-shot public resource target."
